Date,Close,High,Low,Open,Volume,Market_close,Sma_20,Sma_50,Ema_12,Ema_26,Rsi,Macd,Macd_signal,Bb_high,Bb_low,Atr,Obv,Quantum_mass,Quantum_trend,Quantum_uncertainty,Frac_diff_close,Log_return,Market_return
2025-02-10,226.8741912841797,229.8041745661949,226.4257278690688,228.7876615470872,33115600,6066.43994140625,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,33115600,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,0.02159686445292075,0.00033952514367385523
2025-02-11,231.82725524902344,234.42836130351915,227.35256634016287,227.4223198813819,53718400,6068.5,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,86834000,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,0.02159686445292075,0.00033952514367385523
2025-02-12,236.06277465820312,236.15247950770552,229.89386689621963,230.41209906543347,45243300,6051.97021484375,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,132077300,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,0.01810525909176942,-0.0027275831896475754
2025-02-13,240.70689392089844,241.514131106333,234.7672133917818,236.10264318513748,53614100,6115.06982421875,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,185691400,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,0.019482221542832363,0.010372313214235747
2025-02-14,243.7664337158203,244.7131931693581,240.1687356269457,240.4278440984732,40896200,6114.6298828125,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,226587600,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,0.012630542465254767,-7.19463955744955e-05
2025-02-18,243.6368865966797,244.34445851455,241.0158443494388,243.31796980618805,48822500,6129.580078125,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,177765100,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,-0.0005315807947642526,0.002442003655551809
2025-02-19,244.03550720214844,245.1716216090192,242.33134319523683,243.8262313730556,32204200,6144.14990234375,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,209969300,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,0.0016347888431449042,0.0023741488668242434
2025-02-20,244.9922637939453,245.93902334816417,243.45750328110228,244.10529733899224,32316900,6117.52001953125,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,242286200,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,0.003912897668657714,-0.004343604884290259
2025-02-21,244.71319580078125,247.84249441981407,244.38431857946645,245.11182656230832,53197400,6013.1298828125,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,189088800,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,-0.0011397382565601613,-0.017211396672539132
2025-02-24,246.25791931152344,248.0119159709633,243.5870445183064,244.0953010258401,51326400,5983.25,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,240415200,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,0.006292543737412716,-0.004981493566252351
2025-02-25,246.1981201171875,249.14803959700345,244.0753891604379,247.15485528022737,48013300,5955.25,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,192401900,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,-0.0002428610468428315,-0.004690715138395557
2025-02-26,239.5408935546875,244.14514449402503,238.3150894487839,243.49736566903923,44433600,5956.06005859375,238.64445037841796,219.7116928100586,240.48085054595035,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,147968300,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.875110441326456,-0.02741243032228451,0.00013601502958346571
2025-02-27,236.49131774902344,241.6337368385667,236.25213016109493,238.5941277716784,41153600,5861.56982421875,238.64445037841796,219.7116928100586,239.86707626950005,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,0.0,106814700,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.17291686523117,-0.012812651969177875,-0.015991742678524653
2025-02-28,241.01583862304688,241.2649866571528,229.41550676334808,236.1425036842072,56833400,5954.5,238.64445037841796,219.7116928100586,240.04380893927646,227.39973759330317,61.54298602589517,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,5.3716308714371905,163648100,0.16875483883243947,-1.3891657519201803,5.4763031097407,62.50577457429722,0.01895115592125555,0.015729780420663385
2025-03-03,237.21881103515625,243.1983635012748,235.3053560708129,240.96599177281345,47184000,5849.72021484375,238.64445037841796,219.7116928100586,239.6091938771041,227.39973759330317,52.28765219163311,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,5.551729197081812,116464100,0.16875483883243947,-1.3891657519201803,5.4763031097407,57.55333493753767,-0.01587968324691134,-0.017753402648308866
2025-03-04,235.1259765625,239.25188262538288,233.88023638606123,236.8999245639949,53798100,5778.14990234375,238.64445037841796,219.7116928100586,238.91946813639578,227.39973759330317,48.002618296105304,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,5.538866128670372,62666000,0.16875483883243947,-1.3891657519201803,5.4763031097407,56.8323636199425,-0.008861527523398305,-0.012310288231505477
2025-03-05,234.93663024902344,235.7438674276595,228.44880585950324,234.6177134735288,47227600,5842.6298828125,238.64445037841796,219.7116928100586,238.3067238460308,227.39973759330317,47.622365218003154,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,5.66430866006222,15438400,0.16875483883243947,-1.3891657519201803,5.4763031097407,57.93432216567811,-0.0008056217234627742,0.011097472528735688
2025-03-06,234.5280303955078,237.04940729600816,232.3654272740836,233.64106399817908,45170400,5738.52001953125,238.64445037841796,219.7116928100586,237.72538639210418,227.39973759330317,46.761525068067556,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,5.59428518590953,-29732000,0.16875483883243947,-1.3891657519201803,5.4763031097407,58.118502057629115,-0.0017407059186438627,-0.017979677107455568
2025-03-07,238.2552947998047,240.54744460053885,233.95996981993864,234.3087831583753,46273600,5770.2001953125,238.64445037841796,219.7116928100586,237.80691076251964,227.39973759330317,54.78983804103341,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,5.665227299816007,16541600,0.16875483883243947,-1.3891657519201803,5.4763031097407,62.35565026894557,0.01576765265480771,0.005505435045454467
2025-03-10,226.70477294921875,235.35520052510583,223.45588808739055,234.73730306532093,72071200,5614.56005859375,238.64445037841796,219.7116928100586,236.09888956047334,227.39973759330317,36.44728007990686,-5.719502802093615,-4.609967571677848,250.1958754049228,227.09302535191313,6.31766868643016,-55529600,0.16875483883243947,-1.3891657519201803,5.4763031097407,49.61562730033154,-0.049694154676558876,-0.027343541788428148
2025-03-11,220.08740234375,225.0703629938446,216.7089556312574,223.0472821864493,76137400,5572.06982421875,238.30511093139648,219.7116928100586,233.6355838348236,227.39973759330317,30.207810556428157,-5.719502802093615,-4.609967571677848,251.50131575039038,225.1089061124026,6.580393588682388,-131667000,0.14772117403543406,-2.133186529614687,5.4763031097407,47.389218306761165,-0.029623860487678722,-0.007596646918536578
2025-03-12,216.2405548095703,220.99430349899413,214.177617020402,219.3897895710681,62547500,5599.2998046875,237.52577590942383,219.7116928100586,230.95942552324618,227.39973759330317,27.28372298841201,-5.719502802093615,-4.609967571677848,253.67157331436047,221.37997850448718,6.597271652247369,-194214500,0.12073475343685498,-2.6579442046974187,5.4763031097407,47.52162068769917,-0.01763328315996136,0.004874967940490777
2025-03-13,208.9654235839844,216.1010266475969,207.70972301630272,215.2140602896052,61368300,5521.52001953125,236.1709083557129,219.7116928100586,227.5757329172059,227.39973759330317,22.790607617629604,-5.719502802093615,-4.609967571677848,256.56832926982105,215.77348744160474,6.735383090891672,-255582800,0.09556888966424154,-1.6953299222015146,5.4763031097407,43.31567773930573,-0.03422266679560357,-0.013988366806464148
2025-03-14,212.762451171875,213.22087501834247,208.86577244295887,210.53007941159925,60107600,5638.93994140625,234.77368621826173,219.7116928100586,225.2967664948473,227.39973759330317,29.331781396453053,-5.719502802093615,-4.609967571677848,257.43912249638714,212.10824994013635,6.565363054069666,-195475200,0.0860057951178941,-0.6299882497368595,5.4763031097407,51.34942268156354,0.01800748975681678,0.02104290595319694
